Id,Label,timeset,group,calls,time,memory_in,memory_out
FileFinder._get_spec,FileFinder._get_spec,,FileFinder,581,0.020297,0,0
pyparsing.core.Word.__init__,pyparsing.core.Word.__init__,,pyparsing,24,0.020064,0,0
pyparsing.core.Combine.__init__,pyparsing.core.Combine.__init__,,pyparsing,36,0.020004,0,0
pandas._typing.<module>,pandas._typing.<module>,,pandas,1,0.019913,0,0
matplotlib.patches.<listcomp>,matplotlib.patches.<listcomp>,,matplotlib,9,0.019864,0,0
pyparsing.util._collapse_string_to_ranges,pyparsing.util._collapse_string_to_ranges,,pyparsing,28,0.019792,0,0
pyparsing.core.Combine.leave_whitespace,pyparsing.core.Combine.leave_whitespace,,pyparsing,18,0.01977,0,0
numpy.lib.index_tricks.<module>,numpy.lib.index_tricks.<module>,,numpy,1,0.019756,0,0
matplotlib.colors.to_rgba,matplotlib.colors.to_rgba,,matplotlib,448,0.019753,0,0
matplotlib.category.<module>,matplotlib.category.<module>,,matplotlib,1,0.019584,0,0
pandas.core.series.<module>,pandas.core.series.<module>,,pandas,1,0.019567,0,0
pandas.core.arrays.masked.<module>,pandas.core.arrays.masked.<module>,,pandas,1,0.019486,0,0
sre_parse.SubPattern.append,sre_parse.SubPattern.append,,sre_parse,17063,0.019448,0,0
numpy.core.numeric.<module>,numpy.core.numeric.<module>,,numpy,1,0.019447,0,0
numpy.random._pickle.<module>,numpy.random._pickle.<module>,,numpy,1,0.019339,0,0
_ModuleLockManager.__enter__,_ModuleLockManager.__enter__,,_ModuleLockManager,620,0.019157,0,0
pyparsing.exceptions.<module>,pyparsing.exceptions.<module>,,pyparsing,1,0.019142,0,0
numpy.compat._inspect.getargspec,numpy.compat._inspect.getargspec,,numpy,618,0.019116,0,0
pandas.core.arrays.interval.<module>,pandas.core.arrays.interval.<module>,,pandas,1,0.018919,0,0
_lock_unlock_module,_lock_unlock_module,,_lock_unlock_module,727,0.018802,0,0
<listcomp>,<listcomp>,,<listcomp>,4614,0.018762,0,0
posixpath.isabs,posixpath.isabs,,posixpath,2678,0.01854,0,0
mean,mean,,mean,315,0.018323,0,0
pandas.io.excel._base.<module>,pandas.io.excel._base.<module>,,pandas,1,0.017978,0,0
packaging.version.<module>,packaging.version.<module>,,packaging,1,0.01797,0,0
abc.__subclasscheck__,abc.__subclasscheck__,,abc,1422,0.017792,0,0
logging.<module>,logging.<module>,,logging,1,0.017707,0,0
matplotlib.docstring.<listcomp>,matplotlib.docstring.<listcomp>,,matplotlib,13,0.017694,0,0
pyparsing.core.MatchFirst.leave_whitespace,pyparsing.core.MatchFirst.leave_whitespace,,pyparsing,12,0.017571,0,0
pandas.compat._optional.import_optional_dependency,pandas.compat._optional.import_optional_dependency,,pandas,2,0.017522,0,0
matplotlib.colors.from_list,matplotlib.colors.from_list,,matplotlib,32,0.017514,0,0
numpy.ma.<module>,numpy.ma.<module>,,numpy,1,0.017461,0,0
numpy.core.numeric.array_equal,numpy.core.numeric.array_equal,,numpy,1242,0.017361,0,0
pandas.core.computation.expressions.<module>,pandas.core.computation.expressions.<module>,,pandas,1,0.017341,0,0
inspect.Signature.replace,inspect.Signature.replace,,inspect,118,0.017283,0,0
numpy.version.<module>,numpy.version.<module>,,numpy,1,0.017196,0,0
matplotlib.rcsetup.validate_font_properties,matplotlib.rcsetup.validate_font_properties,,matplotlib,18,0.017188,0,0
